,image_id_root,product_id,category_id
0,635e70390a4203a43c1262640ca4168b3672e79e581de16e10fcad112e8c9171.jpg,KQpszKi85M47LPyuD,ch89YHotczcHDQvuP
1,d713d38567db52e7c214fa9e15085d6ed53e223cadcb89fa1058dffbcb6e9af7.jpg,HpSLBPsjNu3MyLJrq,LDz3f2bw75mQ5LrsK
2,0e6ed24736f066ba0563c7316e5c554031f6abd0cffba3400d38849728ec94c8.jpg,D6APhLvfosuikPrks,LDz3f2bw75mQ5LrsK
3,3b7039c1a74862c8f9bcb4fba634b8aa1df84748c3b8546c6ee70057f3b243b4.jpg,6yBEDnL5o2LNxacbC,LDz3f2bw75mQ5LrsK
4,9d96be6c4346a55f2f3a6cbef6dcdc375168baefe30486ff9c98dd10a2b14bd6.jpg,fDCLrA7hxqubEaBje,LDz3f2bw75mQ5LrsK
5,c3d50ebaf1c15caf63bf63989876a5328f1c29c2c82da197eb5b23308840de69.jpg,9HSoZYu64sWBxxdvW,LDz3f2bw75mQ5LrsK
6,c2e592ec630ca5bac64822cf3f9af17d90a93f746c9fc1fcdcc97ccadffdb27f.jpg,z9WvmFZ9wXRuejFXP,LDz3f2bw75mQ5LrsK
7,67347572956584940be7354d2481badb46fa5e7b86655151f5365303903f7a7e.jpg,pkWoQYwX5uKf7BeA6,LDz3f2bw75mQ5LrsK
8,1e1a31fc062f2bc7c487a09739e2d54a36bfd7bc323170574565cb330c387a0b.jpg,p8jpHS4wdciKRZ79d,LDz3f2bw75mQ5LrsK
9,dca47cb63f750d144add576ff666ca940f844aecb60864c21671882ba866cd70.jpg,gff8pJPAsWDFcJxpe,LDz3f2bw75mQ5LrsK
10,c6b007fcc32a7c0d04119795c63475c209593759f82e1a917da44cf5bfd23960.jpg,KbxXRsTjb6zoDzx7z,LDz3f2bw75mQ5LrsK
11,049d8c8a2a264088506a29545c798378842c68b14166b7a4680817f92d1e77b4.png,Lrs5Zu9jLF6BFYyNZ,Jk2mmheHvoZYQ9LCo
12,30598544e4a2a1106b1e02d7b269784e10d5f915b05df32422a8b8ca6b1bcf32.jpg,XEsMh9EYPurAJL2W5,KvjXuk5YxibixtQHF
13,087157a489121439b685a503e57f86cba3d5d47542aa5d422ead890efb98d407.jpg,wTcrnaiTfscneZikp,LDz3f2bw75mQ5LrsK
14,8cfbd22f088a1e78a9649bb04267dfc030e2fdc70f074c497fa04ae4b07a0150.png,m8yhH8cdjCEZ3mZ2A,Jk2mmheHvoZYQ9LCo
15,f5392ba6c68e3dcbd7f6f6b65f4b3ceb83e3a1630ea5b3483a0af15c9b1f52ad.jpg,wNzsGFhobMFzsbkJf,LDz3f2bw75mQ5LrsK
16,594f79188cd9768bd2e68ab9c4e9a57f79bb99de74eff6f5cafc52d3d24a18a6.jpg,ed2hXRJbNBpzDDJX5,LDz3f2bw75mQ5LrsK
17,773de92175e9eed5be38b727728a12d3b2e34bc7ce784fb8f920318e6740a8e1.jpg,9JJRnTNjcAcrykvbT,d5WccKCPumRXJNJy3
18,13ee8f1a13cc05665b9c3243d1f3cdcc8281667c0263866ca2ab6932cb9f8bed.jpg,sNxATRkQAtebgTuMF,LDz3f2bw75mQ5LrsK
19,4699c8baf5892d8819bf9714bbbac3948bdefcb07d932a7f52602b6c20370313.jpg,kHKdpjiFsLbt77NMR,LDz3f2bw75mQ5LrsK
20,9a76f8f9768b51ea0f528967ace6076f52db32ac7772bebb073d8888d708eb59.jpg,Yf2vKACP8Sr6wrZur,LDz3f2bw75mQ5LrsK
21,b5fafbf89e351ffaa3423a8324998ea858f87c2637170a5833bac33d4f7376fc.jpg,wsFn5G9Z5pv6gKLjw,d5WccKCPumRXJNJy3
22,1dce45bef5dc86c3d2fb415c60f3f9a2fbcc3c8e2615fcb2d75f7f58f0b1bcd9.jpg,Lo37JudMaL44zkf74,LDz3f2bw75mQ5LrsK
23,469f4c8c6a7369f59acfaa578a93da1c448428e78a15be579f60bd128c5e5bb3.jpg,h22KJ8kyYjPKWvo36,LDz3f2bw75mQ5LrsK
24,47ec69150d09421d63f8f18465b0bc9831974bb68450d42a46c81510fb9efb07.jpg,zpBqoeZSavEjQccZF,LDz3f2bw75mQ5LrsK
25,89722ecbe734a0dd5a29d32aeb82f4f0f705f45cc769ae815c807ce10202ed94.jpg,Cjw56MzkDMWcXP2nq,LDz3f2bw75mQ5LrsK
26,2a4cc4f8bc3470584ff5309128514b8ef0abf2e3bcc155b9118fa09a76f7a3b4.jpg,46i53nuoLzaReHLRc,LDz3f2bw75mQ5LrsK
27,d7880adc1753135d809b94e0812bb1eab2cca05408b59f6e42c5df42193d7037.jpg,dgREvGJPEhQXaYw6y,d5WccKCPumRXJNJy3
28,3a049320df94681996fe84346c3b193915e646afe6bcf2cc9cda8c9b090c944c.jpg,8XZwcPSjcFfDn6dBo,LDz3f2bw75mQ5LrsK
29,1ceb27cdde214b5e241e14a64e0f9563f9256ae6665fe095a940b9e4975c3860.jpg,m3eyHPcCek2B3BKPW,LDz3f2bw75mQ5LrsK
30,9772bf7fd1c2f1408ab5e5d8c964a50330347f249bc6ede52ce28a2d2a8c2933.jpg,oEu67WoyqhJFCZsCb,hFQmpKxWoyeNLTjZE
31,cad95a5cb0c084d649e456bf57ecfc8df87938ff9292d1dbf9ba45d0bc1ddb69.jpg,HfzHyR7FhA4LqWm2M,jxra9tzETL3xvJdsM
32,63b57d8a78ddbf971a39614a5230ef8399db6458e568fe3657fc9f567c9ec3e4.jpg,HCabiYh686td6GMuw,LDz3f2bw75mQ5LrsK
33,c79189e70bdd9240d85bc499fdaf00b3e11630161bcb8afe6cc4e3a77cdd33cd.jpg,uAT5a5DQ7saDNLs2E,jxra9tzETL3xvJdsM
34,dca3989cf4b59f9e8f40614c97ac7f317988464d8965e614be4fb4878cb06a7e.jpg,p8ELuucmZdLmpvfz3,7DhegT47HLRuvG37Z
35,9ee4777dc16b2aa26e7020fb4744a12cee1f6ad1564b171e7b5ff495a38d860f.jpg,6vnWHvrcX6fbc8qei,LDz3f2bw75mQ5LrsK
36,65be47aa95d7396b2e96d0da297bad2b4d8f7efe8ef269d1cfb2306e95e87573.jpg,DfckefKDbvAs7MJ49,LDz3f2bw75mQ5LrsK
37,771b460fb6c3d3f97865722fac609f25bcd4fe3431cc7435ae0a8512b97b088c.jpg,cpFzCRHQJSphvyxbk,LDz3f2bw75mQ5LrsK
38,edca4dc43a83411b5c9052d45d2d5f166369a9b3afbcc348030abc026bb83368.jpg,msGp4Hs9eDrnA46ND,MqyeHLcLrdTSA8Mai
39,574d6af1e00d2ba52b07a2303ccc33b3cffa6d004acdc66539f82f4582384c04.jpg,Le7zouxZSfcS46eYb,QdRSsHmMr7czJgr6g
40,89f72fa5bc7ae156219c3bb7bb042fe04604f5c726fd6c4b957eafe0c39de62b.jpg,T7R4g7wChhc3Rv2x5,QdRSsHmMr7czJgr6g
41,eba3b8b3eb7668d4383c6e8317ce53a6c6cd3463e08b9786dddaaf66686f9b9e.jpg,YNisN2h5cxbufFXhF,QdRSsHmMr7czJgr6g
42,721eab4e7bd96e821b9b9775626086279e0f03a5d2800e5f18f529a126262c50.jpg,kvYfHtrjcAMtw4u9W,QdRSsHmMr7czJgr6g
43,32b69bc322a29249af7db383f360b87c358f771805e348cd07425ea192c624b4.jpg,3ukw6zRLzeAwXs4mf,QdRSsHmMr7czJgr6g
44,c941a61ca7feb459067fb015015c527cc07df46fe6405d1e255f4a6b89e23e94.jpg,5xGRKGby3DDJToms8,QdRSsHmMr7czJgr6g
45,3e9c6e49c1475d8c78b7c12f9da8fe1ea32d6d361279f87ce6db5002443524e8.jpg,jXQz3XptbqCHYCffn,QdRSsHmMr7czJgr6g
